#cohort	individuals	females	males	n_unknown_sex	total_hpo	total_measurements	hpo_version	gpsea_version	n_total_individual_count	n_alive	n_deceased	n_unknown_vital	n_with_age_of_last_encounter	n_with_onset	n_diseases	disease_string
ABCB7	18	0	18	0	52	0	2025-01-16	0.9.6	18	0	0	18	0	8	1	Anemia, sideroblastic, and spinocerebellar ataxia
ACADM	115	0	0	115	0	31	2025-01-16	0.9.6	115	0	0	115	0	0	1	Acyl-CoA dehydrogenase, medium chain, deficiency of
ACBD6	45	22	23	0	79	0	2023-10-09	0.9.6	45	0	0	45	0	0	1	Neurodevelopmental disorder with progressive movement abnormalities
AIRE	58	31	27	0	47	0	2025-01-16	0.9.6	58	56	2	0	2	57	1	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia
ANKRD11	337	143	175	19	48	0	2025-01-16	0.9.6	337	0	0	337	0	0	1	KBG syndrome
ASPM	22	14	8	0	17	0	2025-01-16	0.9.6	22	0	0	22	0	1	1	Microcephaly 5, primary, autosomal recessive
ATP13A2	45	18	27	0	71	0	2025-01-16	0.9.6	45	0	0	45	0	45	2	Kufor-Rakeb syndrome;Spastic paraplegia 78, autosomal recessive
ATP6V0C	31	12	19	0	83	0	2025-01-16	0.9.6	31	31	0	0	0	27	1	Epilepsy, early-onset, 3, with or without developmental delay
BRD4	18	8	10	0	40	0	2025-05-06	0.9.11	18	0	0	18	0	16	1	Cornelia de Lange syndrome 6
CHD8	79	26	53	0	81	0	2025-01-16	0.9.6	79	78	1	0	1	17	1	Intellectual developmental disorder with autism and macrocephaly
CLDN16	51	21	29	1	53	0	2025-01-16	0.9.6	51	22	0	29	0	51	1	Hypomagnesemia 3, renal
CNTNAP2	63	29	32	2	72	0	2025-01-16	0.9.6	63	45	2	16	2	50	1	Pitt-Hopkins like syndrome 1
COL3A1	41	24	17	0	43	0	2025-01-16	0.9.6	41	0	0	41	0	38	2	Ehlers-Danlos syndrome, vascular type;Polymicrogyria with or without vascular-type EDS
COQ4	51	30	21	0	91	0	2025-01-16	0.9.6	51	31	19	1	19	50	2	Coenzyme Q10 deficiency, primary, 7;Spastic ataxia 10, autosomal recessive
CTCF	46	18	28	0	110	0	2025-01-16	0.9.6	46	0	0	46	0	0	1	Intellectual developmental disorder, autosomal dominant 21
CYP21A2	69	34	35	0	27	314	2025-01-16	0.9.6	69	0	0	69	0	69	1	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency
EHMT1	125	81	44	0	60	0	2025-01-16	0.9.6	125	0	0	125	0	0	1	Kleefstra syndrome 1
